date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:46	97163/97163	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:53%20GMT	https://www.brrsoftwares.com/assets/js/vendor/jquery-1.12.4.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/vendor/jquery-1.12.4.min.js	(from https://www.brrsoftwares.com/)
11:34:47	19188/19188	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:27%20GMT	https://www.brrsoftwares.com/assets/js/popper.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/popper.min.js	(from https://www.brrsoftwares.com/)
11:34:48	48944/48944	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:25%20GMT	https://www.brrsoftwares.com/assets/js/bootstrap.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/bootstrap.min.js	(from https://www.brrsoftwares.com/)
11:34:49	8415/8415	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.slicknav.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.slicknav.min.js	(from https://www.brrsoftwares.com/)
11:34:51	42766/42766	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:27%20GMT	https://www.brrsoftwares.com/assets/js/owl.carousel.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/owl.carousel.min.js	(from https://www.brrsoftwares.com/)
11:34:52	42863/42863	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:28%20GMT	https://www.brrsoftwares.com/assets/js/slick.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/slick.min.js	(from https://www.brrsoftwares.com/)
11:34:53	8415/8415	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:28%20GMT	https://www.brrsoftwares.com/assets/js/wow.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/wow.min.js	(from https://www.brrsoftwares.com/)
11:34:54	5532/5532	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:24%20GMT	https://www.brrsoftwares.com/assets/js/animated.headline.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/animated.headline.js	(from https://www.brrsoftwares.com/)
11:34:55	20216/20216	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.magnific-popup.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.magnific-popup.js	(from https://www.brrsoftwares.com/)
11:34:56	2942/2942	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.nice-select.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.nice-select.min.js	(from https://www.brrsoftwares.com/)
11:34:57	10085/10085	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.sticky.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.sticky.js	(from https://www.brrsoftwares.com/)
11:34:58	8044/8044	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-1f6c%22	http://cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.3/waypoints.min.js	C:/brrReplica/brr/cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.3/waypoints.min.js	(from https://www.brrsoftwares.com/)
11:34:59	1067/1067	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.counterup.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.counterup.min.js	(from https://www.brrsoftwares.com/)
11:35:02	3108/3108	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:25%20GMT	https://www.brrsoftwares.com/assets/js/contact.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/contact.js	(from https://www.brrsoftwares.com/)
11:35:03	41095/41095	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.form.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.form.js	(from https://www.brrsoftwares.com/)
11:35:05	21068/21068	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.validate.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.validate.min.js	(from https://www.brrsoftwares.com/)
11:35:06	1230/1230	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:27%20GMT	https://www.brrsoftwares.com/assets/js/mail-script.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/mail-script.js	(from https://www.brrsoftwares.com/)
11:35:07	4820/4820	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:26%20GMT	https://www.brrsoftwares.com/assets/js/jquery.ajaxchimp.min.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/jquery.ajaxchimp.min.js	(from https://www.brrsoftwares.com/)
11:35:08	760/760	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:27%20GMT	https://www.brrsoftwares.com/assets/js/plugins.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/plugins.js	(from https://www.brrsoftwares.com/)
11:35:10	6929/6929	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Aug%202020%2012:54:27%20GMT	https://www.brrsoftwares.com/assets/js/main.js	C:/brrReplica/brr/www.brrsoftwares.com/assets/js/main.js	(from https://www.brrsoftwares.com/)
11:35:11	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Sep%202021%2006:05:11%20GMT	https://www.brrsoftwares.com/assets/css/owl.video.play.png	C:/brrReplica/brr/www.brrsoftwares.com/assets/css/owl.video.play.33.delayed	(from https://www.brrsoftwares.com/assets/css/owl.carousel.min.css)
11:35:12	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Sep%202021%2006:05:12%20GMT	https://www.brrsoftwares.com/assets/fonts/Flaticon.eot	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/Flaticon.34.delayed	(from https://www.brrsoftwares.com/assets/css/flaticon.css)
11:35:13	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Sep%202021%2006:05:13%20GMT	https://www.brrsoftwares.com/assets/fonts/Flaticon.eot?	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/Flaticon.35d41d.delayed	(from https://www.brrsoftwares.com/assets/css/flaticon.css)
11:35:14	1920/1920	---M--	200	added ('OK')	font/woff2	date:Wed,%2005%20Aug%202020%2013:04:55%20GMT	https://www.brrsoftwares.com/assets/fonts/Flaticon.woff2	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/Flaticon.woff2	(from https://www.brrsoftwares.com/assets/css/flaticon.css)
11:35:16	2480/2480	---M--	200	added ('OK')	font/woff	date:Wed,%2005%20Aug%202020%2013:04:54%20GMT	https://www.brrsoftwares.com/assets/fonts/Flaticon.woff	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/Flaticon.woff	(from https://www.brrsoftwares.com/assets/css/flaticon.css)
11:35:17	3640/3640	---M--	200	added ('OK')	font/ttf	date:Wed,%2005%20Aug%202020%2013:04:34%20GMT	https://www.brrsoftwares.com/assets/fonts/Flaticon.ttf	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/Flaticon.ttf	(from https://www.brrsoftwares.com/assets/css/flaticon.css)
11:35:18	15993/15993	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2005%20Aug%202020%2013:04:34%20GMT	https://www.brrsoftwares.com/assets/fonts/Flaticon.svg	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/Flaticon.svg	(from https://www.brrsoftwares.com/assets/css/flaticon.css)
11:35:20	98620/98620	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2005%20Aug%202020%2013:01:23%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-brands-400.eot	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-brands-400.eot	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:21	98620/98620	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2005%20Aug%202020%2013:01:23%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-brands-400.eot?	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-brands-400d41d.eot	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:22	54420/54420	---M--	200	added ('OK')	font/woff2	date:Wed,%2005%20Aug%202020%2013:01:26%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-brands-400.woff2	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-brands-400.woff2	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:23	63712/63712	---M--	200	added ('OK')	font/woff	date:Wed,%2005%20Aug%202020%2013:01:26%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-brands-400.woff	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-brands-400.woff	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:24	98384/98384	---M--	200	added ('OK')	font/ttf	date:Wed,%2005%20Aug%202020%2013:01:26%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-brands-400.ttf	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-brands-400.ttf	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:26	507478/507478	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2005%20Aug%202020%2013:01:25%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-brands-400.svg	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-brands-400.svg	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:26	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2005%20Aug%202020%2013:01:26%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-regular-400.eot	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-regular-400.eot	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:27	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2005%20Aug%202020%2013:01:26%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-regular-400.eot?	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-regular-400d41d.eot	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:28	12220/12220	---M--	200	added ('OK')	font/woff2	date:Wed,%2005%20Aug%202020%2013:01:27%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-regular-400.woff2	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-regular-400.woff2	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:29	14712/14712	---M--	200	added ('OK')	font/woff	date:Wed,%2005%20Aug%202020%2013:01:27%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-regular-400.woff	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-regular-400.woff	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:31	30928/30928	---M--	200	added ('OK')	font/ttf	date:Wed,%2005%20Aug%202020%2013:01:27%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-regular-400.ttf	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-regular-400.ttf	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:32	107199/107199	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2005%20Aug%202020%2013:01:26%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-regular-400.svg	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-regular-400.svg	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:33	102152/102152	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2005%20Aug%202020%2013:01:27%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-solid-900.eot	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-solid-900.eot	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
11:35:35	102152/102152	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2005%20Aug%202020%2013:01:27%20GMT	https://www.brrsoftwares.com/assets/fonts/fa-solid-900.eot?	C:/brrReplica/brr/www.brrsoftwares.com/assets/fonts/fa-solid-900d41d.eot	(from https://www.brrsoftwares.com/assets/css/fontawesome-all.min.css)
